Location,Scene,Offence,Year,Measure,Value,Flags
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","2004","Resolved",56,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","2005","Resolved",50,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","2006","Resolved",51,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","2007","Resolved",55,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","2008","Resolved",73,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","2009","Resolved",53,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","2010","Resolved",60,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","2011","Resolved",82,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","2012","Resolved",40,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","2013","Resolved",38,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","2014","Resolved",26,
"Waitemata District","Total Scene","Acts intended to cause injury","2004","Resolved",2852,
"Waitemata District","Total Scene","Acts intended to cause injury","2005","Resolved",2807,
"Waitemata District","Total Scene","Acts intended to cause injury","2006","Resolved",2956,
"Waitemata District","Total Scene","Acts intended to cause injury","2007","Resolved",3453,
